Date,Supplier,Order number,Product,Price per 100 grams,Quantity in kg
2023-03-13,"Treutel, Pouros and Murphy",Ref-1023135,Sunflower oil,19.2,28720
2023-03-13,Jones-Jenkins,S-1010472,UCOME,158.4,31560
2023-03-13,"Treutel, Pouros and Murphy",Ref-1023237,Sunflower oil,123.2,26120
2023-03-13,Jones-Jenkins,S-1010497,UCOME,726.4,28060
2023-03-13,Yellowstone,S-1010513,Used cooking oil (UCO),142.4,32720
2023-03-13,Jones-Jenkins,S-1009878,UCOME,120,31960
2023-03-13,Jones-Jenkins,S-1009879,UCOME,1001.6,32060
2023-03-10,Jones-Jenkins,S-1009876,UCOME,1152,32040
2023-03-10,Jones-Jenkins,S-1009877,UCOME,145.6,31980
2023-03-10,"Hahn, Mueller and Strosin",Ref-1022924,NM30,120,22760
2023-03-10,"Hahn, Mueller and Strosin",Ref-1022948,NM30,670.4,23060
2023-03-10,Buckridge Inc,Ref-1023025,Used cooking oil (UCO),86.4,22100
2023-03-10,Buckridge Inc,Ref-1023026,Used cooking oil (UCO),267.2,22040
2023-03-10,Buckridge Inc,Ref-1023027,Used cooking oil (UCO),1305.6,22060
2023-03-10,Buckridge Inc,Ref-1023028,Used cooking oil (UCO),1108.8,22420
2023-03-10,Buckridge Inc,Ref-1023029,Used cooking oil (UCO),1192,22220
2023-03-10,Buckridge Inc,Ref-1023030,Used cooking oil (UCO),603.2,23140
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023106,Sunflower oil,417.6,29280
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023108,Sunflower oil,38.4,28580
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023109,Sunflower oil,83.2,29020
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023117,Sunflower oil,44.8,28020
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023118,Sunflower oil,52.8,28680
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023121,Sunflower oil,371.2,25100
2023-03-10,"Treutel, Pouros and Murphy",Ref-1023133,Sunflower oil,396.8,24680
